Frame Index,Label,Confidence
0,Normal,0.0
1,Normal,0.0
2,Normal,0.0
3,Normal,0.0
4,Normal,0.0
5,Normal,0.0
6,Normal,0.0
7,Normal,0.0
8,Normal,0.0
9,Normal,0.0
10,Normal,0.0
11,Normal,0.0
12,Normal,0.0
13,Normal,0.0
14,Normal,0.0
15,Normal,0.0
16,Normal,0.0
17,Normal,0.0
18,Normal,0.0
19,Normal,0.0
20,Normal,0.0
21,Normal,0.0
22,Normal,0.0
23,Normal,0.0
24,Normal,0.0
25,Normal,0.0
26,Normal,0.0
27,Normal,0.0
28,Normal,0.0
29,Normal,0.0
30,Normal,0.0
31,Normal,0.0
32,Normal,0.0
33,Normal,0.0
34,Normal,0.0
35,Normal,0.0
36,Normal,0.0
37,Normal,0.0
38,Normal,0.0
39,Normal,0.0
40,Normal,0.0
41,Normal,0.0
42,Normal,0.0
43,Normal,0.0
44,Normal,0.0
45,Normal,0.0
46,Normal,0.0
47,Normal,0.0
48,Normal,0.0
49,Normal,0.0
50,Frame Merge,0.886
51,Frame Merge,0.885
52,Frame Merge,0.885
53,Frame Merge,0.88
54,Frame Merge,0.882
55,Normal,0.0
56,Normal,0.0
57,Normal,0.0
58,Normal,0.0
59,Normal,0.0
60,Frame Drop,0.735
61,Normal,0.0
62,Normal,0.0
63,Normal,0.0
64,Normal,0.0
65,Normal,0.0
66,Normal,0.0
67,Frame Merge,0.919
68,Frame Merge,0.895
69,Normal,0.0
70,Normal,0.0
71,Normal,0.0
72,Normal,0.0
73,Normal,0.0
74,Normal,0.0
75,Normal,0.0
76,Normal,0.0
77,Normal,0.0
78,Normal,0.0
79,Normal,0.0
80,Normal,0.0
81,Normal,0.0
82,Normal,0.0
83,Normal,0.0
84,Normal,0.0
85,Normal,0.0
86,Normal,0.0
87,Normal,0.0
88,Normal,0.0
89,Normal,0.0
90,Normal,0.0
91,Normal,0.0
92,Normal,0.0
93,Normal,0.0
94,Normal,0.0
95,Normal,0.0
96,Normal,0.0
97,Normal,0.0
98,Normal,0.0
99,Normal,0.0
100,Normal,0.0
101,Normal,0.0
102,Normal,0.0
103,Normal,0.0
104,Normal,0.0
105,Normal,0.0
106,Normal,0.0
107,Normal,0.0
108,Normal,0.0
109,Normal,0.0
110,Normal,0.0
111,Normal,0.0
112,Normal,0.0
113,Normal,0.0
114,Normal,0.0
115,Normal,0.0
116,Normal,0.0
117,Normal,0.0
118,Normal,0.0
119,Normal,0.0
120,Frame Drop,0.968
121,Normal,0.0
122,Frame Merge,0.886
123,Frame Merge,0.88
124,Normal,0.0
125,Normal,0.0
126,Normal,0.0
127,Normal,0.0
128,Normal,0.0
129,Normal,0.0
130,Normal,0.0
131,Normal,0.0
132,Normal,0.0
133,Normal,0.0
134,Normal,0.0
135,Normal,0.0
136,Normal,0.0
137,Normal,0.0
138,Normal,0.0
139,Normal,0.0
140,Normal,0.0
141,Normal,0.0
142,Normal,0.0
143,Normal,0.0
144,Normal,0.0
145,Normal,0.0
146,Normal,0.0
147,Normal,0.0
148,Normal,0.0
149,Normal,0.0
150,Normal,0.0
151,Normal,0.0
152,Normal,0.0
153,Normal,0.0
154,Normal,0.0
155,Normal,0.0
156,Normal,0.0
157,Normal,0.0
158,Normal,0.0
159,Normal,0.0
160,Normal,0.0
161,Normal,0.0
162,Normal,0.0
163,Normal,0.0
164,Normal,0.0
165,Normal,0.0
166,Frame Merge,0.896
167,Normal,0.0
168,Normal,0.0
169,Normal,0.0
170,Frame Merge,0.896
171,Normal,0.0
172,Normal,0.0
173,Normal,0.0
174,Normal,0.0
175,Normal,0.0
176,Normal,0.0
177,Normal,0.0
178,Normal,0.0
179,Normal,0.0
180,Frame Drop,1.0
181,Normal,0.0
182,Normal,0.0
183,Normal,0.0
184,Normal,0.0
